8.2	29.0	-4.7	-3.1	2.0	-6.3	1
10.4	24.3	-1.4	-4.5	3.4	-5.3	0
9.7	27.3	-3.0	-3.9	1.6	-6.6	1
10.1	23.5	-1.0	-2.3	2.0	-7.9	0
11.9	29.6	-2.8	-4.2	1.5	-6.4	1
10.2	28.3	-5.0	-4.1	3.7	-7.0	0
9.8	29.9	-4.7	-2.6	0.9	-6.3	1
11.2	29.8	-4.1	-3.5	1.4	-7.0	1
11.1	24.3	-3.8	-2.3	1.8	-8.9	0
10.4	25.7	-1.5	-2.6	0.9	-6.8	1
8.3	25.6	-3.2	-4.0	0.7	-5.4	0
8.8	26.3	-2.6	-4.9	-1.6	-9.2	0
9.8	24.0	-1.6	-2.0	1.8	-7.0	0
9.1	27.9	-1.2	-3.9	3.1	-6.6	1
8.7	27.0	-1.7	-3.7	4.5	-8.3	1
11.0	26.3	-2.0	-3.9	3.7	-6.6	1
10.9	22.3	-1.7	-2.7	4.1	-8.9	0
11.3	29.7	-4.6	-2.1	3.1	-9.5	1
10.9	24.5	-2.4	-4.4	1.5	-6.6	0
10.0	27.8	-1.3	-4.7	-0.2	-9.8	1
11.0	26.0	-3.7	-2.9	3.2	-7.7	0
11.5	26.2	-1.1	-3.1	2.3	-7.5	1
11.7	22.3	-1.3	-4.4	0.8	-7.5	0
8.6	28.1	-1.2	-4.5	3.0	-6.2	1
11.8	22.4	-1.4	-5.0	0.9	-5.5	0
9.6	23.2	-2.5	-3.8	2.7	-8.5	0
10.4	28.3	-2.9	-2.7	3.3	-9.0	1
11.9	23.4	-2.6	-3.0	0.9	-7.1	0
11.7	23.5	-3.2	-2.4	3.2	-6.3	0
10.2	29.3	-2.6	-2.6	3.7	-9.8	1
11.9	22.3	-2.6	-3.3	1.6	-5.3	0
9.2	22.2	-3.7	-4.2	3.7	-6.7	0
9.4	26.0	-4.7	-4.6	1.1	-8.8	0
9.2	28.2	-1.3	-2.5	1.7	-6.7	1
9.3	26.5	-3.8	-2.9	1.3	-9.4	0
8.1	24.7	-1.4	-4.1	-2.1	-5.2	1
11.7	28.2	-4.6	-4.0	0.1	-5.5	1
9.4	25.1	-2.4	-3.0	1.7	-8.8	0
11.6	26.0	-2.4	-2.9	2.3	-6.0	1
8.1	29.2	-2.7	-2.6	2.8	-6.9	1
11.6	23.0	-1.2	-2.6	0.7	-5.1	1
8.2	29.2	-2.2	-3.9	0.0	-6.1	1
10.1	29.1	-4.7	-4.2	0.9	-6.6	0
11.4	27.8	-1.3	-2.8	3.2	-5.4	1
8.9	26.9	-2.4	-3.8	1.3	-8.4	0
8.4	23.0	-5.0	-2.3	2.8	-8.6	0
10.3	23.7	-1.6	-2.9	4.4	-5.5	0
