10.0	25.4	-2.6	-4.3	3.5	-9.4	0.003
8.5	25.3	-2.6	-4.9	-1.0	-10.0	0.648
10.3	29.9	-1.3	-3.5	1.2	-7.6	0.864
8.9	24.3	-1.9	-4.6	4.5	-5.3	0.421
11.8	24.7	-1.6	-4.5	3.1	-9.4	0.670
8.2	24.2	-4.3	-4.4	1.8	-5.1	0.268
9.8	26.7	-3.2	-4.5	1.6	-8.8	0.617
10.3	25.8	-4.8	-3.5	2.6	-5.8	0.445
9.6	22.2	-3.0	-5.0	0.6	-8.3	0.471
10.8	22.2	-4.4	-4.0	2.5	-5.6	0.281
8.2	27.1	-4.9	-3.1	0.8	-9.5	0.510
10.9	29.5	-4.0	-3.1	0.6	-6.0	0.595
11.9	23.5	-3.9	-4.2	1.9	-8.6	0.443
11.8	26.2	-1.8	-3.8	0.6	-5.5	0.614
8.4	27.6	-4.1	-3.8	2.8	-6.5	0.512
8.7	23.1	-1.3	-2.7	1.4	-8.3	0.614
10.2	23.7	-2.6	-4.8	3.7	-7.8	0.494
10.7	28.9	-4.5	-4.1	1.6	-9.5	0.553
8.5	24.3	-2.3	-3.6	4.3	-7.0	0.499
11.9	23.7	-3.2	-4.8	4.1	-8.4	0.513
8.8	27.8	-3.9	-4.5	2.5	-8.4	0.489
12.0	24.7	-4.8	-4.4	0.5	-7.4	0.490
10.6	29.3	-1.6	-3.7	1.3	-6.1	0.762
10.4	26.5	-2.2	-3.6	1.2	-8.3	0.637
10.9	22.5	-1.1	-2.5	-0.4	-7.6	0.723
8.7	29.7	-1.3	-2.5	-2.5	-8.0	0.883
9.0	23.0	-2.7	-4.4	1.6	-9.3	0.483
8.5	28.0	-4.9	-2.5	1.2	-8.1	0.531
9.9	23.0	-4.4	-2.7	1.3	-9.7	0.440
10.5	22.2	-2.0	-3.8	1.6	-9.6	0.575
11.8	26.3	-4.1	-3.5	3.0	-5.7	0.534
10.5	28.3	-1.7	-2.9	1.5	-7.5	0.711
9.3	28.6	-2.7	-3.7	-2.5	-9.7	0.751
11.8	23.2	-1.5	-4.9	-1.7	-8.3	0.710
8.4	26.2	-3.9	-3.4	0.5	-9.2	0.501
10.2	28.9	-1.4	-3.4	2.7	-8.0	0.738
8.3	26.7	-3.8	-4.3	2.9	-9.3	0.470
9.5	23.4	-1.5	-3.6	2.7	-7.6	0.576
11.8	28.6	-1.4	-3.2	-0.2	-8.9	0.805
10.3	29.0	-3.4	-2.4	3.5	-6.8	0.684
8.9	25.9	-4.8	-3.2	4.3	-5.9	0.310
10.6	29.1	-2.6	-4.1	-0.2	-7.4	0.655
10.7	27.2	-3.3	-3.9	1.8	-7.6	0.637
9.8	26.3	-2.3	-2.1	3.4	-6.9	0.611
8.5	29.8	-1.6	-3.3	2.2	-5.0	0.694
8.9	22.4	-4.6	-4.6	2.1	-7.6	0.333
10.8	28.5	-3.8	-2.3	1.3	-7.3	0.667
